Page ID,Page Name,Disclaimer,Amount Spent (USD)
294963660620753,Pedro R. Pierluisi,"Comité Pedro Pierluisi, Inc.",7010
337406633053223,odsec,Oficina para el Desarrollo Socioeconómico y Comunitario,4987
182079698493370,Portside,Portside,2673
11131463701,truth,TRUTH INITIATIVE FOUNDATION,2620
621144291234625,Miguel Romero,Comité Miguel Romero,1926
264921133562949,Eduardo Bhatia,Eduardo Bhatia Gautier Gobernador,1293
319765995532065,Julio Geigel Alcalde Humacao 2020,Julio Luis Geigel Perez,948
1284735221676638,BELatina News,BELatina News,899
17475614410,Hispanic Federation,HISPANIC FEDERATION INC,896
205621160218305,Dr. Luis M. Irizarry Pabón 2020,Dr. Luis M. Irizarry Pabón 2020,877
6905502638,Aníbal Acevedo Vilá,ANIBAL COMISIONADO 2020,606
385401322305378,Rafy Zayas Alcalde de Ponce 2020,Juan Carlos Mora Vasquez,567
314499212242,Pfizer,Pfizer Inc.,485
292680997602545,Manuel Calderón Cerame,Comité Manuel Calderón Cerame,477
238914629482880,Ramón Luis Nieves,Comité Amigos Ramón Luis Nieves,465
397447437669420,Miguel "Ricky" Méndez,Miguel "Ricky" Méndez,463
1969780580005791,Alex Torres Senado 2020,Alexis Jose Torres Irizarry,411
292075591645198,Peter J. López Norat - Senador por Acumulación PPD,www.peternorat.com,410
641472952610298,Gabriel López Arrieta,Comité Amigos Gabriel López Arrieta,370
409835579621290,Erasmo Vázquez Hernández,Thay An Marie Vazquez Méndez,325
497046574368616,Frankie Guerra Senador Distrito Carolina,Comite Amigos Frankie Guerra Morales,313
1384404905123338,Vivir con Salud,Samuel Ferrer Alicea,307
115562398496938,Pepito,Anibal Quinones,298
74458149794,Center for a New Economy,Center for a New Economy,271
101526347911862,Mariana García Benítez,Mariana García Benítez,263
102431017943096,Marially González Senadora Distrito de Ponce 2020,Juan Santos Pagán,259
187429284615692,Cholo Adventures,Univision Communications Inc.,230
229990273742684,Comisión Estatal de Elecciones de Puerto Rico,Comisión Estatal de Elecciones de Puerto Rico,225
310676529001539,Jessica Dominguez,Univision Communications Inc.,224
104516389641870,Juan Dalmau Ramírez,Partido Independentista,195
203709216982986,Pesos y Contrapesos,Pesos y Contrapesos,190
1547457055530916,Comité  Pip Cayey Oficial,Comité Pip Cayey Oficial,189
1576236875930301,Global Cyber Alliance,Global Cyber Alliance with ad credits,187
1572998166166458,Joanne Rodríguez Veve,Comité Amigos de Joanne Rodríguez Veve,184
644080375641612,Con Mi Internet NO,These ads ran without a disclaimer,178
136710773025912,Salus University,Caren Jennifer Cremen,170
219996700871,Roger Electric®,These ads ran without a disclaimer,165
106333028376,"Nichols Kaster, PLLP",Nichols Kaster PLLP,164
2195247860693983,Luis Rodríguez,Luis A Rodriguez Diaz,162
512178362165966,CEMEX Puerto Rico,These ads ran without a disclaimer,142
834806283563802,Domingo Torres Representante Distrito 25,Domingo J. Torres Garcia,132
538713833208581,Charlie Delgado Altieri,Comité Amigos Carlos Delgado Altieri,130
104805631181027,Melvin Vázquez Senador,Melvin Vazquez Roche,130
1692524767651072,Mariana Nogales Molinelli 2020,Mariana Nogales Molinelli,124
2171656702899941,Carlos Delgado Irizarry - Alcalde 2020,Carlos Delgado Irizarry,122
526531767367785,Sindicato Puertorriqueño de Trabajadores y Trabajadoras,Jose Javier Rodriguez Flores,121
339328419446455,Primarias2020,www.primarias2020.com,120
285816758516544,Kabir Solares "El Bombero" Alcalde Añasco 2020,Kabir Solares,118
110898097167987,Angel Javier Rosario,Angel Javier Rosario Maldonado,114
365775453949582,Julio Roldan,Comité Amigos Julio Roldán,111
110280253735683,Alexandria Ocasio-Cortez Fan Club,Imran M Jemal,109
110116690622256,"Rafy Santos, Senador Distrito de Guayama",Jose Matos Nolasco,104
538713833208581,Charlie Delgado Altieri,Ivonne Lozada Rosas,≤100
8492293163,Environmental Defense Fund,Environmental Defense Fund,≤100
109907037209096,Keyliz Mendez Representante Acumulación 2020,Keyliz Joan Mendez Torres,≤100
525148901218340,José Aníbal "Joey" Meléndez,Comité Amigos de José Aníbal "Joey" Meléndez,≤100
438490809653707,Representante Néstor Alonso Vega,comite amigos nestor alonso vega,≤100
61288747990,Real Warriors,Real Warriors Campaign,≤100
124955570892789,Bernie Sanders,BERNIE 2020,≤100
117076693018099,Benjamin Perez Senador Distrito de Arecibo 2020,Benjamin Perez Mojica,≤100
173199999989897,Yamilet González - Representante Distrito 21,Yamilet Gonzalez Alicea,≤100
450302295468037,Naamán Burgos Montes Senador Distrito Ponce,Naaman Milan Burgosmontes,≤100
104516389641870,Juan Dalmau Ramírez,Juan Dalmau Ramírez,≤100
103658724374108,Gladys Díaz al Senado 2020,Fatima J Cedano,≤100
630598004063606,Marcos Fabian Gonzalez,Marcos Fabian Gonzalez Barreto,≤100
1055008051214942,Héctor Martínez Rosado,Hector Homi Martinez,≤100
313304389392604,Sergio Ortiz -Alcalde Isabela 2020,Eric X Toledo,≤100
292075591645198,Peter J. López Norat - Senador por Acumulación PPD,Moises Reyes Maldonado,≤100
1418111495154156,"Jaime Alverio Ramos, Alcalde 2020",Jaime Alverio Ramos,≤100
106136944129289,Justicia por los Asegurados,These ads ran without a disclaimer,≤100
1578942752369005,Wandy Soto- Senadora Distrito Humacao 2020,These ads ran without a disclaimer,≤100
970301389805884,Ángel “Beto” Pérez,Ana de Lourdes Arocho Sánchez,≤100
1072222572917000,Alejandro Hernández - Alcalde 2020,Alejandro Hernández Rivera,≤100
2354455014830204,Leo Meléndez Alcalde Fajardo 2020,Comité Leonardo "Leo" Meléndez Díaz,≤100
433089094203460,Cambio,Adriana Cristina Berríos Pérez,≤100
206379656060938,Centro de Periodismo Investigativo,These ads ran without a disclaimer,≤100
100543501417020,Nitza Moran 2020,Javier Santana Soto,≤100
118389879571665,Palomo Colon,Luis Daniel Camacho Ortiz,≤100
518974798535043,Economía con Calle,Edgardo Vicenty Algarin,≤100
103412061237148,Cristian González Alcalde Comerio 2020,Cristian Gonzalez,≤100
1688136854546434,Página: Crucito Marrero,These ads ran without a disclaimer,≤100
106299687637769,Mente Abierta PR,Juan Rafael Serrano Torres,≤100
1691667177798461,Brut,Brut,≤100
103419547920606,Comite PIP Cidra Oficial,Leamsi Fontanez González,≤100
107472404070021,Yamira Colón Rosa,Yamira Colon Rosa,≤100
107990644081787,Lousif Nevárez De Gracia,Lousif Antonio Nevárez de Gracia,≤100
438490809653707,Representante Néstor Alonso Vega,Nestor Alonso Vega,≤100
334443496658552,MIRE Movimiento Independentista Republicano,Frank Edward Worley,≤100
1841477449501424,Alan Tacher,Univision Communications Inc,≤100
1440642619375498,Amigos De Armando "Mandy" Rivera Díaz 2020,These ads ran without a disclaimer,≤100
149451418987667,Boricuas Unidos en la Diáspora - BUDPR,Boricuas Unidos en la Diáspora,≤100
109551363765799,LUQUE 2020,These ads ran without a disclaimer,≤100
521215601679070,El Cano Delgado 2020,Vincent Rivera,≤100
1639730212934172,"DOVA International Charities, Ltd, 501c3 Non-Profit Charity",Kathleen Louise D'Ovido,≤100
324907127545230,POLITANK*,"Politank, Corp",≤100
1927295324191335,Libros787.com,These ads ran without a disclaimer,≤100
103970894384029,Joel Sánchez Ayala,Amigos de Joel Sánchez Ayala,≤100
108554917384509,Myrna Conty MVC 2020,Adriana Cristina Berríos Pérez,≤100
2192065361053914,"Luis Omar Flores, Alcalde Sabana Grande 2020",Derick Joel Aponte Santiago,≤100
100361931403978,La Voz Digital PR,La Voz Digital PR,≤100
1185360418227760,International Cosmetics US,These ads ran without a disclaimer,≤100
105540974259327,Bengie Velázquez,These ads ran without a disclaimer,≤100
1448956625326965,Tu Noticia PR,Luis Daniel Camacho Ortiz,≤100
619477611863635,U.S. Citizens For Equal Protection,These ads ran without a disclaimer,≤100
767154603472144,Women's Medical Pavilion,These ads ran without a disclaimer,≤100
298827966811602,Trump Recession,Maurice Lane Ponsart,≤100
100296704772989,Wildlife Mission,These ads ran without a disclaimer,≤100
182073298490036,Gaia,These ads ran without a disclaimer,≤100
1496236637337606,HAEA Puerto Rico,HEREDITARY ANGIOEDEMA ASSOCIATION INC.,≤100
413578449406689,State of Survival,These ads ran without a disclaimer,≤100
108138222892294,Marilú Guzmán,These ads ran without a disclaimer,≤100
152381964962170,Claribel Martínez + Senadora 2020,Leo Giovanni Acosta Martinez,≤100
203463950500659,Christian Cortés,Comité Amigos Christian Cortés 2020,≤100
271548242965478,G.O.P. Dance Academy,These ads ran without a disclaimer,≤100
992427717580796,Bunnies Hot Tips,Sharolyn Denise Forbes,≤100
1086209354874961,Resilience Force,"NEO PHILANTHROPY, INC.",≤100
504834822977772,Espacios Abiertos,These ads ran without a disclaimer,≤100
118000384900593,Art brands,These ads ran without a disclaimer,≤100
107711304277254,Por un Oeste Diferente,These ads ran without a disclaimer,≤100
735881013148317,Melvin Concepción,These ads ran without a disclaimer,≤100
290137481579643,SAGE Puerto Rico,These ads ran without a disclaimer,≤100
102390744580008,La Premisa Inarticulada,These ads ran without a disclaimer,≤100
104909464219171,Coach with Kilo Fit,These ads ran without a disclaimer,≤100
1470151473238140,Save the Boundary Waters,Northeastern MInnesotans for Wilderness,≤100
111820830223757,Héctor J. Martínez,Comité Héctor Martínez Maldonado,≤100
132551140286486,Gabo Sola,These ads ran without a disclaimer,≤100
405035039522708,Mario Ramos Méndez,These ads ran without a disclaimer,≤100
522739851086441,Raquel Cohen Boutique,These ads ran without a disclaimer,≤100
1742660299366332,Kitarzan,These ads ran without a disclaimer,≤100
1691776254387133,Newchic,These ads ran without a disclaimer,≤100
205238189588054,"Race, Racism and the Law",Professor Vernellia Randall,≤100
275606287530,CEMEX,These ads ran without a disclaimer,≤100
111309513761791,Alianza de Comercio Lgbttq + PR,These ads ran without a disclaimer,≤100
767154603472144,Women's Medical Pavilion,Women's Medical Pavilion,≤100
324785111015146,The Reformed Constitutionalist,Michael John Cuellar,≤100
194994547760538,Slot Mate - Free Slot Casino,These ads ran without a disclaimer,≤100
120564828433637,CTI Consulting Group,These ads ran without a disclaimer,≤100
630598004063606,Marcos Fabian Gonzalez,Comite de Amigos Marcos Fabian Gonzalez Barreto,≤100
99039406843,Women Deliver,"Women Deliver, Inc.",≤100
213156909037566,José Luis Rivera Guerra,These ads ran without a disclaimer,≤100
112655657037970,Zoyla Lingüini,Radames Vega,≤100
111690680486698,The Colonial Post,These ads ran without a disclaimer,≤100
1405348169532066,Papos Famous Ice Cream,These ads ran without a disclaimer,≤100
687819184952867,Steph's Pins World,These ads ran without a disclaimer,≤100
894665703917595,Solar & Water Solutions,These ads ran without a disclaimer,≤100
539211362758273,Lcda. Maritza Torres Roman,These ads ran without a disclaimer,≤100
101030804951218,De Todo Un Poco PR 7,These ads ran without a disclaimer,≤100
121072318410610,MagdakineDesigns Swimwear,Magdalena Rose Berger,≤100
102287451449894,100Cia a tu alcance,These ads ran without a disclaimer,≤100
227574710589774,Rafael June Rivera,These ads ran without a disclaimer,≤100
1816541415328105,The Small Detour,These ads ran without a disclaimer,≤100
104199921245123,Corntined,These ads ran without a disclaimer,≤100
1852520761657982,4ocean,These ads ran without a disclaimer,≤100
294571204598870,I G N E R I C K,These ads ran without a disclaimer,≤100
104036954552535,El Rincon de Mario - Mario's Podcast,Mario Jesus Haces,≤100
317307475375032,New York Deli Cuisine,These ads ran without a disclaimer,≤100
100472144776164,Palestinian Resistance,Omar Acevedo Pacheco,≤100
130807243031,Jamal Simmons,Jamal Nkosi Simmons,≤100
803174803369450,Granos PR,These ads ran without a disclaimer,≤100
105593607637112,Nature’s Voice,These ads ran without a disclaimer,≤100
101914428207188,José Bellido - Consultor de Windmar Home,These ads ran without a disclaimer,≤100
386976188592544,Iris.warm,These ads ran without a disclaimer,≤100
796378113904337,MedSpa Advertising,These ads ran without a disclaimer,≤100
2561243017222306,Dirty Donnie's Report Card by V. Poo Tin,Jeffrey Arnold Diver,≤100
111860203532714,La Percha Boutique,These ads ran without a disclaimer,≤100
333199340043595,Alma Francis Heyliger,Alma Alicia Francis,≤100
451300034899885,Gabriel Vicéns Rivera,These ads ran without a disclaimer,≤100
105318629551257,Grief Recovery Center de Puerto Rico,These ads ran without a disclaimer,≤100
101604378097884,Awesome Science,These ads ran without a disclaimer,≤100
105726767710762,Ciudadanos Fiscalizando la Corrupcion Politica  en Puerto Rico,These ads ran without a disclaimer,≤100
1590320831180471,Perspectiva Actual,These ads ran without a disclaimer,≤100
337598883039070,Ferretería Candelaria,These ads ran without a disclaimer,≤100
113932703397653,Ultimate Goodsvibe,These ads ran without a disclaimer,≤100
204426307048,Check Point Software Technologies,These ads ran without a disclaimer,≤100
100612078329578,NO al continuismo,These ads ran without a disclaimer,≤100
100171495008384,Ininlady.,These ads ran without a disclaimer,≤100
100509168245156,Puerto Ricans for Joe Biden,Virgilio None Rodriguez,≤100
605037386536651,Alianza for Progress,Alianza for Progress,≤100
107229050703874,Bernie Sanders Fan Club,Imran M Jemal,≤100
103134474604354,Tu Voto No Se Deja,These ads ran without a disclaimer,≤100
107345144221720,Mira,These ads ran without a disclaimer,≤100
103467721348096,Wig Store,These ads ran without a disclaimer,≤100
106658274208314,Inrainqho,These ads ran without a disclaimer,≤100
347654226156252,Restudeyle-C,These ads ran without a disclaimer,≤100
104215950997913,Tekniq Apparel,These ads ran without a disclaimer,≤100
2030859403853303,Mutiny Island Vodka,These ads ran without a disclaimer,≤100
104785104513042,One Media Studio,Wilfredo Ramos Garcia,≤100
1403663399888222,Body Service & Fitness,These ads ran without a disclaimer,≤100
104017187750116,Living With A Bulldog,These ads ran without a disclaimer,≤100
647380495652111,The Oxygen Project,These ads ran without a disclaimer,≤100
104830944497473,Nurse Lovers,These ads ran without a disclaimer,≤100
202626512363,U.S. Census Bureau,U.S. Census Bureau,≤100
107213620807225,Black Night,These ads ran without a disclaimer,≤100
104622121026372,Earthbreeze,These ads ran without a disclaimer,≤100
1327561383989325,Fashionshoppro,These ads ran without a disclaimer,≤100
138513872828179,House of Destiny Network,These ads ran without a disclaimer,≤100
189269999292,Wärtsilä Corporation,These ads ran without a disclaimer,≤100
106508251050555,Metro Jam Chain,These ads ran without a disclaimer,≤100
163699360409800,Angel Peña Jr,These ads ran without a disclaimer,≤100
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,≤100
108702164206495,therealfabe,These ads ran without a disclaimer,≤100
114866079891340,Trivia.com,These ads ran without a disclaimer,≤100
162609949918,TRIWA,These ads ran without a disclaimer,≤100
317463093373,The Akshaya Patra Foundation,These ads ran without a disclaimer,≤100
359123334176416,Evolution Beauty Studio,These ads ran without a disclaimer,≤100
75564782046,Vyond,These ads ran without a disclaimer,≤100
109025964133069,Mofongo's To Go.,These ads ran without a disclaimer,≤100
107837380885881,Milton Rivera La Gloria es para Cristo,These ads ran without a disclaimer,≤100
111673103583478,Earthlogy,These ads ran without a disclaimer,≤100
103465247940703,Good Life,These ads ran without a disclaimer,≤100
1839744573004791,Darrell Patterson,These ads ran without a disclaimer,≤100
715337551812957,One Ummah,These ads ran without a disclaimer,≤100
295644821089361,Natalia Nicole,These ads ran without a disclaimer,≤100
32621625011,Geoshield Window Films USA,These ads ran without a disclaimer,≤100
170918006892,G.I. Jobs,Victory Media DBA GI Jobs,≤100
734318533369569,Ipsos Caribbean & Central America,These ads ran without a disclaimer,≤100
671899149606397,La Guía Del Varón,These ads ran without a disclaimer,≤100
2105938916156115,WIRRED,These ads ran without a disclaimer,≤100
890170027796009,Sálvate Boricua,These ads ran without a disclaimer,≤100
255289475128502,Bori Memes,These ads ran without a disclaimer,≤100
1632087420337341,Is it Love ? World,These ads ran without a disclaimer,≤100
92572781406,"Gavi, the Vaccine Alliance",These ads ran without a disclaimer,≤100
108275903905368,AddyStyles,Opeyemi J Adeyemi,≤100
102291184820805,Absideon,These ads ran without a disclaimer,≤100
204243816263754,Rev Yearwood,Hip Hop Caucus,≤100
107029502716400,Belle du Jour Estetique & Beauty Clinic,These ads ran without a disclaimer,≤100
349702751902673,Hereditary Angioedema Association - HAEA,HEREDITARY ANGIOEDEMA ASSOCIATION INC.,≤100
100557528304709,Funny Dog,These ads ran without a disclaimer,≤100
106695347668632,Stammess.com,These ads ran without a disclaimer,≤100
873908482632788,The Ayurveda Experience,These ads ran without a disclaimer,≤100
66459568171,Harvard Business School,These ads ran without a disclaimer,≤100
645738972165960,International Road Transport Union - IRU,These ads ran without a disclaimer,≤100
868782459944184,Hip,These ads ran without a disclaimer,≤100
291283268151167,Knowfashionstyle,These ads ran without a disclaimer,≤100
107165460945105,Fly High 420,These ads ran without a disclaimer,≤100
506080469431400,CABE- Comité Amplio para la Búsqueda de Equidad,These ads ran without a disclaimer,≤100
101482521543555,Sector Aeronáutico Con LUIS,These ads ran without a disclaimer,≤100
435239419997570,Optimus Business Transformation,These ads ran without a disclaimer,≤100
100248521632741,Dealsbytheday,These ads ran without a disclaimer,≤100
562378543780840,King Kong Co.,These ads ran without a disclaimer,≤100
670688686620124,Mercy Bakery,These ads ran without a disclaimer,≤100
24834672986,Hip Hop Caucus,Hip Hop Caucus,≤100
111415387202346,_redm_,These ads ran without a disclaimer,≤100
106230730951842,Fy abbey-shop,These ads ran without a disclaimer,≤100
1600314206896935,The Pattern Trader,These ads ran without a disclaimer,≤100
115591005188475,Global Times,These ads ran without a disclaimer,≤100
205093963028353,Collision Conf,These ads ran without a disclaimer,≤100
102629161400392,Pier-100,These ads ran without a disclaimer,≤100
1563707596995551,Conscious Items,These ads ran without a disclaimer,≤100
105272344182870,Think 100%,Hip Hop Caucus,≤100
106895267515724,Awmoon.com02,These ads ran without a disclaimer,≤100
105386070991521,Every Night,These ads ran without a disclaimer,≤100